UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Amanpour and Company,@AmanpourCoPBS,2020-11-20T21:45:20.000Z,"Amanpour and Company
@AmanpourCoPBS
·
Nov 20, 2020","Moderna's co-founder and chairman Noubar Afeyan responds to President Trump's accusation that the company waited to report their vaccine's efficacy until after the election. 
@WalterIsaacson
 @NoubarAfeyan
 @moderna_tx
2
6
22",,2,6,22,['https://pbs.twimg.com/ext_tw_video_thumb/1329903115173310465/pu/img/42nXBn15om16W7v5.jpg'],https://twitter.com/AmanpourCoPBS/status/1329903681706332162
Nina Bina,@NinaBina4Peace,2020-11-20T17:53:59.000Z,"Nina Bina
@NinaBina4Peace
·
Nov 20, 2020","Replying to 
@caslernoel
 and 
@realDonaldTrump
Moderna & Pfizer did not spend multimillions
to name their vaccine after him.
80% of the world would hate it.
7
73",,,7,73,[],https://twitter.com/NinaBina4Peace/status/1329845459427479553
EWTN Pro-Life Weekly,@EWTNProLife,2020-11-20T16:22:20.000Z,"EWTN Pro-Life Weekly
@EWTNProLife
·
Nov 20, 2020","The 
@LozierInstitute
, research arm of the #ProLife 
@SBAList
, has listed the Moderna vaccine among the “ethically uncontroversial CoV-19 vaccine programs.” #COVID19
catholicnewsagency.com
The ethics of Moderna's coronavirus vaccine
While the Bishop of Tyler asserted Monday that the coronavirus vaccine being developed by Moderna “is not morally produced”, the National Catholic Bioethics Center and the Charlotte Lozier Institute...
1
8
20",,1,8,20,['https://pbs.twimg.com/card_img/1461154127279378434/AMZLEbuU?format=jpg&name=900x900'],https://twitter.com/EWTNProLife/status/1329822394840616961
Jeff Fortenberry,@JeffFortenberry,2020-11-20T21:13:35.000Z,"Jeff Fortenberry
@JeffFortenberry
·
Nov 20, 2020","In the last two weeks, two companies reported that their experimental vaccines to prevent #COVID19 infection were 90% ( 
@pfizer
 ) and 94% ( 
@moderna_tx
 ) effective. While more needs to be done, this man-on-the-moon effort is impressive and unprecedented
fortenberry.house.gov
Fort Report: Viral Hope
As our state and nation continue to fight through the global pandemic, we’ve received some good news. In the last two weeks, two pharmaceutical companies reported that their experimental vaccines to...
3
4
2",,3,4,2,[],https://twitter.com/JeffFortenberry/status/1329895688302419977
The Kid,@DisneyKid1955,2020-11-20T21:44:03.000Z,"The Kid
@DisneyKid1955
·
Nov 20, 2020","Replying to 
@pdacosta
@stevenmnuchin1
 
If, as Princess Barbie alleged in January, Trump was working with Moderna, shouldn't you have the distribution network in place already, just waiting to be activated once FDA approves a vaccine. You've had 11 FRIGGING MONTHS!!!  
1
11
52",🤬,1,11,52,[],https://twitter.com/DisneyKid1955/status/1329903357465595908
Chris Ciovacco,@CiovaccoCapital,2020-11-20T17:23:10.000Z,"Chris Ciovacco
@CiovaccoCapital
·
Nov 20, 2020","via 
@CNBC
:

""Five federal agencies have started telling employees they could receive Pfizer or Moderna’s Covid-19 vaccine in as little as eight weeks as the U.S. prepares to distribute the doses across the country, according to a person with first-hand knowledge of the plan.""
5
6
46",,5,6,46,[],https://twitter.com/CiovaccoCapital/status/1329837703949656075
Dr. Shweta,@Dr_shwetaPHD,2020-11-20T22:58:02.000Z,"Dr. Shweta
@Dr_shwetaPHD
·
Nov 20, 2020","@IOHK_Charles
 - Now as we have #Covid19 vaccines from multiple companies. Do you think, #cardano can provide an efficient #blockchain based tracking & verification mechanism for these vaccines to make sure they are genuine and no tampering happened? 
@pfizer
 @moderna_tx
 @bloc_ki
2
9",🦅,,2,9,['https://pbs.twimg.com/media/EnTU7pqW4AMq1iV?format=jpg&name=medium'],https://twitter.com/Dr_shwetaPHD/status/1329921974446010369
Dr. Beth Boquet,@elizabethboquet,2020-11-20T20:15:35.000Z,"Dr. Beth Boquet
@elizabethboquet
·
Nov 20, 2020","My spouse, when skeptical neighbor asks whether he will get the COVID vaccine: “Are you kidding? I want Pfizer in my left arm and Moderna in my right.”
3
3
43",,3,3,43,[],https://twitter.com/elizabethboquet/status/1329881094745944066
"Tami Mask, RN BSN OCCN",@MaskTami,2020-11-20T17:22:21.000Z,"Tami Mask, RN BSN OCCN
@MaskTami
·
Nov 20, 2020","It’s great that Pfizer, Moderna, AstraZeneca/Oxford University are working on a Covid vaccine at an incredible pace.  
Can we please acknowledge the thousands of volunteers who, months ago, bravely stepped up & enrolled in these clinical trials to make this happen?
2
27",,2,,27,[],https://twitter.com/MaskTami/status/1329837498265202688
Austin Statesman,@statesman,2020-11-20T17:26:48.000Z,"Austin Statesman
@statesman
·
Nov 20, 2020","""I have faith in American science, and I wanted to instill confidence in constituents to have confidence in a vaccine.”

@RepBillFlores was one of more than 30,000 to participate in the Moderna coronavirus vaccine trial
statesman.com
Central Texas congressman takes part in Moderna trial
When U.S. Rep. Bill Flores checked in at Moderna’s lab in Houston back in October to get his first shot as part...
1
5
16",,1,5,16,['https://pbs.twimg.com/card_img/1461664316004962307/TGhQZwC4?format=jpg&name=medium'],https://twitter.com/statesman/status/1329838620270878721
Science Friday,@scifri,2020-11-20T19:00:02.000Z,"Science Friday
@scifri
·
Nov 20, 2020","It's time for #SciFriLive! On our first hour:

 What the latest promising Pfizer & Moderna vaccine trials mean
 What our climate can look like under Biden
 NSF decommissions famous Arecibo Observatory

Listen along with us 
sciencefriday.com
November 20, 2020 - Science Friday
The NSF plans to decommission the giant Arecibo radio observatory after major damage. A look at the loss for science, and for Puerto Rico. Plus, Roman Mars talks about the often overlooked details...
6
7",📻 ⚕ 🌎 🔭 🎧,,6,7,['https://pbs.twimg.com/card_img/1462586758743617537/oaOBj71h?format=jpg&name=small'],https://twitter.com/scifri/status/1329862082620223488
Mark C,@MarkC_LVB,2020-11-20T20:58:32.000Z,"Mark C
@MarkC_LVB
·
Nov 20, 2020","You mean the drug companies like 
@pfizer
 & 
@moderna_tx
 that are saving our collective asses from #COVID19 right now? All 
@realDonaldTrump
 did today was raise prices on rest of the world. Real cost of healthcare at hospital level. Glad I didn't vote for this fool! #KabukiTheater
Alex Azar
@SecAzar
 · Nov 20, 2020
Under President Trump, we're taking on the big drug companies, taking on the middlemen, and taking on foreign countries freeriding off Americans. 

We're delivering savings for the forgotten men and women of America who show up at the pharmacy counter.
2",,,,2,"['https://pbs.twimg.com/profile_images/1278115231852625921/cYFb56Q-_normal.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1329886463991930880/img/1I5v7D6UafmhCQ1r.jpg']",https://twitter.com/MarkC_LVB/status/1329891904775806976
Elie Diner,@elie_diner,2020-11-20T16:10:03.000Z,"Elie Diner
@elie_diner
·
Nov 20, 2020","With all the news from 
@pfizer
 & 
@moderna_tx
, I've been getting reacquainted with my friend, RNA!

RNA vaccines have a number of advantages over DNA vaccines or viral vectors & the prospect of getting closer to approval is exciting!

Learn more about them:
frontiersin.org
Advances in mRNA Vaccines for Infectious Diseases
During the last two decades, there has been broad interest in RNA-based technologies for the development of prophylactic and therapeutic vaccines. Preclinical and clinical trials have shown that mRNA...
4",,,,4,['https://pbs.twimg.com/card_img/1462150145756176386/eAlIj7Ym?format=jpg&name=360x360'],https://twitter.com/elie_diner/status/1329819305739956224
Research2Reality,@r2rnow,2020-11-20T22:10:06.000Z,"Research2Reality
@r2rnow
·
Nov 20, 2020","ICYMI Scientists have been working around the clock to deliver on #COVID19 vaccines. Decades of existing work on lipid nanoparticle delivery systems accelerated their efforts: https://research2reality.com/health-medicine/acuitas-therapeutics-lipid-nanoparticle-tech-pfizer-biontech-vaccine-coronavirus-pandemic-covid-19/… 
@pfizer
 @BioNTech_Group
 @moderna_tx
 @ubcnews
 @UBC
 @ubclifesciences
 @AcuitasTx
1",,,,1,['https://pbs.twimg.com/media/EnTKBFSXEAA5xCD?format=jpg&name=medium'],https://twitter.com/r2rnow/status/1329909911422197760
DrOwl,@DrOwlHQ,2020-11-20T23:11:05.000Z,"DrOwl
@DrOwlHQ
·
Nov 20, 2020","Replying to 
@DrCharlieWeller
 @moderna_tx
 and 2 others
Great info, thanks for sharing!
1",,,,1,[],https://twitter.com/DrOwlHQ/status/1329925261932908544
Sarah Price,@SarahatViveza,2020-11-20T20:16:33.000Z,"Sarah Price
@SarahatViveza
·
Nov 20, 2020","Replying to 
@AlexShabad
 @moderna_tx
 and 
@wcnc
Thank you for sharing!
1",,,,1,[],https://twitter.com/SarahatViveza/status/1329881336484651015
anny,@mmagno_63,2020-11-20T23:44:47.000Z,"anny
@mmagno_63
·
Nov 20, 2020","Operation Warp Speed has been a brilliant success - thank you, 
@realdonaldtrump
! All credit to the Trump Administration.
@pfizer
 and 
@moderna_tx
 held off their vaccine announcements until after the election - despicable.
1",❌ ❌ ✝,,1,,[],https://twitter.com/mmagno_63/status/1329933742295625728
Manikfaan,@Manikfaan3,2020-11-20T17:47:25.000Z,"Manikfaan
@Manikfaan3
·
Nov 20, 2020","Replying to 
@Manikfaan3
 @Mihaarunews
 and 2 others
95% of those given Covid-19 “vaccines” developed  by 
@pfizer
 & 
@moderna_tx
 did not get the symptoms of the virus when infected. Basically patients become asymptomatic. Not immune to infection. 
@HPA_MV
1",,,,1,[],https://twitter.com/Manikfaan3/status/1329843806330470401
Knightshade,@thebody2u,2020-11-20T18:18:27.000Z,"Knightshade
@thebody2u
·
Nov 20, 2020","Replying to 
@KathyThomson
 and 
@moderna_tx
Distribution has already been laid and planned out over the last several months, but is pretty simple for Moderna's vaccine as it doesn't require super cold storage or reconstitution. I am sure they would speak with anyone though, they just want to get the product to the people
1",⚔ ⚔,,,1,[],https://twitter.com/thebody2u/status/1329851617319989250
Just Neil,@Neilovichi,2020-11-20T22:19:52.000Z,"Just Neil
@Neilovichi
·
Nov 20, 2020","I'm asking Big Pharma to share their vaccines with the world in the #Covid19 emergency

Lift the patents, share the vaccines, save lives
@Pfizer
 @BioNTech_Group
 @Moderna_tx
 @AstraZeneca
 @JNJNews
 @GSK
 @Sanofi
 @Novavax
 @ValnevaSE
 

Add your voice:
act.globaljustice.org.uk
Suspend patents on Covid-19 vaccines
Covid vaccines are a life-saver for millions – but the world isn’t producing them fast enough. Every available vaccine factory should be joining the global vaccine effort – but instead many are lying
3
1",,,3,1,['https://pbs.twimg.com/card_img/1461770218661945352/rweeYHJK?format=jpg&name=small'],https://twitter.com/Neilovichi/status/1329912370005745667
Knightshade,@thebody2u,2020-11-20T18:15:15.000Z,"Knightshade
@thebody2u
·
Nov 20, 2020","Replying to 
@RonGeorge_Dubai
 and 
@moderna_tx
Yes. The LNP has several functions, but the most important is probably stability as mRNA is inherently incredibly unstable. Likely there is zero difference in efficacy between Pfizer and Moderna mRNA, unless one LNP is less effective at getting it inside the cell. Unlikely.
2",⚔ ⚔,,,2,[],https://twitter.com/thebody2u/status/1329850811602661376
HBO PR,@HBOPR,2020-11-20T19:32:14.000Z,"HBO PR
@HBOPR
·
Nov 20, 2020",".
@HBODocs
 news series #AxiosonHBO continues Monday, Nov. 23 at 11PM on 
@HBO
; show features interviews with Charles Koch and Brian Hooks, 
@gary_kelly
, 
@RepCardenas
, & 
@moderna_tx
 Chief Medical Officer Dr. Tal Zaks: https://itsh.bo/AxiosNov23
youtube.com
AXIOS on HBO: Chairman and CEO of Koch Industries Charles Koch...
Chairman and CEO of Koch Industries Charles Koch discusses whether he takes responsibility for the current state of American politics. #HBO #AxiosOnHBOSubscr...
1
4",,,1,4,['https://pbs.twimg.com/card_img/1462552382919827461/-dQ1bB_G?format=jpg&name=small'],https://twitter.com/HBOPR/status/1329870186732802048
LeeCingolaRNMS#MaskUp#Vaccinate#3,@LeCingola,2020-11-20T21:47:51.000Z,"LeeCingolaRNMS#MaskUp#Vaccinate#3
@LeCingola
·
Nov 20, 2020","Replying to 
@EricTopol
 @MajorTaylorFan1
 and 4 others
Those big pharmaceutical companies will not pay attention to him.  It’s laughable.   He would not understand the science.
1",,,,1,[],https://twitter.com/LeCingola/status/1329904314240929792
𝗹𝗶𝘀𝗮 ☆ﾟ.*･｡ﾟ,@risacake,2020-11-20T22:30:16.000Z,"𝗹𝗶𝘀𝗮 ☆ﾟ.*･｡ﾟ
@risacake
·
Nov 20, 2020","Replying to 
@JarrodEdeal
 @IrishPatty54
 and 5 others
Jan 13th Trump hadn’t even acknowledged the virus, hadn’t started lying to the public about it. .  He hadn’t even received his first INTELLIGENCE BRIEFING on covid yet (Jan 18). 

Now we’re supposed to believe he had started work on a VACCINE? It’s laughable.",,,,,[],https://twitter.com/risacake/status/1329914989424078857
Dr. Demetri,@PhillySoulDoc,2020-11-20T18:54:55.000Z,"Dr. Demetri
@PhillySoulDoc
·
Nov 20, 2020","Replying to 
@Rbloss64
 @HBHNationBlog
 and 2 others
@moderna_tx
 will hopefully submit before that meeting as well.
1
1",,1,,1,[],https://twitter.com/PhillySoulDoc/status/1329860795744849922
Nara,@nmatini,2020-11-20T22:30:37.000Z,"Nara
@nmatini
·
Nov 20, 2020","Replying to 
@upuouo
 @AmanpourCoPBS
 and 3 others
Born in Lebanon, Afeyan is the grandson of an Armenian refugee who landed in Lebanon after the #ArmenianGenocide. When the civil war in Lebanon came, the family moved to Canada, then to the U.S.
1
1
5",,1,1,5,[],https://twitter.com/nmatini/status/1329915078355902464
Kilroy is here,@FliesLordofthe,2020-11-20T20:20:01.000Z,"Kilroy is here
@FliesLordofthe
·
Nov 20, 2020","Replying to 
@EricTopol
 @pfizer
 and 3 others
Withholding information material to the stock price also would have been a violation of SEC regulations. Trump, as narcissists frequently do, sees a conspiracy to harm him by every event that doesn't help him. Pfizer execs and lawyers say in a room and said not yet....
1",,,,1,[],https://twitter.com/FliesLordofthe/status/1329882210019602432
Kate Birrell,@kamabi,2020-11-20T18:39:30.000Z,"Kate Birrell
@kamabi
·
Nov 20, 2020","Replying to 
@RuthiBrandt
 @pfizer
 and 9 others
Even so - they seem to be quoting a price at the mo of £3, which is 1/10th of the Pfizer price. Even if they went up to £9, that’s still significantly less, surely. And they’re doing deals for local production all over the place, including India.
Still, there’s a way to go yet...
1
1",,1,,1,[],https://twitter.com/kamabi/status/1329856915212554243
Catwoman64 #RejoinEU#Johnson Out#NHS,,2020-11-20T18:29:10.000Z,"Catwoman64 #RejoinEU#Johnson Out#NHS
·
Nov 20, 2020","I'm asking Big Pharma to share their vaccines with the world in the #Covid19 emergency

Lift the patents, share the vaccines, save lives
@Pfizer
 @BioNTech_Group
 @Moderna_tx
 @AstraZeneca
 @JNJNews
 @GSK
 @Sanofi
 @Novavax
 @ValnevaSE
 

Add your voice:
act.globaljustice.org.uk
Suspend patents on Covid-19 vaccines
Covid vaccines are a life-saver for millions – but the world isn’t producing them fast enough. Every available vaccine factory should be joining the global vaccine effort – but instead many are lying
1",🐈 🐾 🌈 💙,,1,,['https://pbs.twimg.com/card_img/1461770218661945352/rweeYHJK?format=jpg&name=small'],https://twitter.com/carole_woman64/status/1329854312135204871
Sleepy Cat. #FBNHS .European .Despises Brexit.,,2020-11-20T16:58:48.000Z,"Sleepy Cat. #FBNHS .European .Despises Brexit.
·
Nov 20, 2020","Replying to 
@kamabi
 @pfizer
 and 8 others
Thank you for that information.
1
1",💕,1,,1,[],https://twitter.com/springsteen50/status/1329831571726225411
Sandra Holliday #FreePalestine #SaveSheikhJarrah,,2020-11-20T16:42:28.000Z,"Sandra Holliday #FreePalestine #SaveSheikhJarrah
·
Nov 20, 2020","Replying to 
@kamabi
 @pfizer
 and 8 others
Thank you.
1",,,,1,[],https://twitter.com/SouthWalesHolly/status/1329827460897247234
Rod Evans #FBPE #RejoinEU #FBPA,@rod1evans,2020-11-20T17:39:22.000Z,"Rod Evans #FBPE #RejoinEU #FBPA
@rod1evans
·
Nov 20, 2020","I'm asking Big Pharma to share their vaccines with the world in the #Covid19 emergency

Lift the patents, share the vaccines, save lives
@Pfizer
 @BioNTech_Group
 @Moderna_tx
 @AstraZeneca
 @JNJNews
 @GSK
 @Sanofi
 @Novavax
 @ValnevaSE
 

Add your voice:
act.globaljustice.org.uk
Suspend patents on Covid-19 vaccines
Covid vaccines are a life-saver for millions – but the world isn’t producing them fast enough. Every available vaccine factory should be joining the global vaccine effort – but instead many are lying
2",,,,2,['https://pbs.twimg.com/card_img/1461770218661945352/rweeYHJK?format=jpg&name=small'],https://twitter.com/rod1evans/status/1329841782734131205
Peter Short,@PeterShort12,2020-11-20T20:42:36.000Z,"Peter Short
@PeterShort12
·
Nov 20, 2020","I'm asking Big Pharma to share their vaccines with the world in the #Covid19 emergency

Lift the patents, share the vaccines, save lives
@Pfizer
 @BioNTech_Group
 @Moderna_tx
 @AstraZeneca
 @JNJNews
 @GSK
 @Sanofi
 @Novavax
 @ValnevaSE
 

Add your voice:
act.globaljustice.org.uk
Suspend patents on Covid-19 vaccines
Covid vaccines are a life-saver for millions – but the world isn’t producing them fast enough. Every available vaccine factory should be joining the global vaccine effort – but instead many are lying
1",,,,1,['https://pbs.twimg.com/card_img/1461770218661945352/rweeYHJK?format=jpg&name=small'],https://twitter.com/PeterShort12/status/1329887894320902147
Donald Hutera,@DonaldHutera,2020-11-20T19:57:17.000Z,"Donald Hutera
@DonaldHutera
·
Nov 20, 2020","I'm asking Big Pharma to share their vaccines with the world in the #Covid19 emergency

Lift the patents, share the vaccines, save lives
@Pfizer
 @BioNTech_Group
 @Moderna_tx
 @AstraZeneca
 @JNJNews
 @GSK
 @Sanofi
 @Novavax
 @ValnevaSE
 

Add your voice:
act.globaljustice.org.uk
Suspend patents on Covid-19 vaccines
Covid vaccines are a life-saver for millions – but the world isn’t producing them fast enough. Every available vaccine factory should be joining the global vaccine effort – but instead many are lying
1",,,1,,['https://pbs.twimg.com/card_img/1461770218661945352/rweeYHJK?format=jpg&name=small'],https://twitter.com/DonaldHutera/status/1329876488380944384
mark hollinrake,@markhollinrake,2020-11-20T22:55:43.000Z,"mark hollinrake
@markhollinrake
·
Nov 20, 2020","I'm asking Big Pharma to share their vaccines with the world in the #Covid19 emergency

Lift the patents, share the vaccines, save lives
@Pfizer
 @BioNTech_Group
 @Moderna_tx
 @AstraZeneca
 @JNJNews
 @GSK
 @Sanofi
 @Novavax
 @ValnevaSE
 

Add your voice:
act.globaljustice.org.uk
Suspend patents on Covid-19 vaccines
Covid vaccines are a life-saver for millions – but the world isn’t producing them fast enough. Every available vaccine factory should be joining the global vaccine effort – but instead many are lying",,,,,['https://pbs.twimg.com/card_img/1461770218661945352/rweeYHJK?format=jpg&name=small'],https://twitter.com/markhollinrake/status/1329921391911727105
Dave Rendle #GGTO,@teifidancer,2020-11-20T19:45:44.000Z,"Dave Rendle #GGTO
@teifidancer
·
Nov 20, 2020","I'm asking Big Pharma to share their vaccines with the world in the #Covid19 emergency

Lift the patents, share the vaccines, save lives
@Pfizer
 @BioNTech_Group
 @Moderna_tx
 @AstraZeneca
 @JNJNews
 @GSK
 @Sanofi
 @Novavax
 @ValnevaSE
 

Add your voice:
act.globaljustice.org.uk
Suspend patents on Covid-19 vaccines
Covid vaccines are a life-saver for millions – but the world isn’t producing them fast enough. Every available vaccine factory should be joining the global vaccine effort – but instead many are lying",,,,,['https://pbs.twimg.com/card_img/1461770218661945352/rweeYHJK?format=jpg&name=small'],https://twitter.com/teifidancer/status/1329873580587364353
Norbert Elekes,@NorbertElekes,2020-11-21T11:51:17.000Z,"Norbert Elekes
@NorbertElekes
·
Nov 21, 2020","Latest vaccine news:

- Pfizer filed for approval in US

- India's Covaxin entered phase 3 trials

- EU could approve Pfizer and Moderna vaccines in December
8
155
1.8K",,8,155,1.8K,[],https://twitter.com/NorbertElekes/status/1330116569339408391
billboard,@billboard,2020-11-21T07:00:09.000Z,"billboard
@billboard
·
Nov 21, 2020","Here’s how #DollyParton was involved in Moderna's coronavirus vaccine research http://blbrd.cm/2vgng1Y
3
39
570",,3,39,570,[],https://twitter.com/billboard/status/1330043304721969153
girlboss don biggaveli,@rwxoxo,2020-11-21T23:18:42.000Z,"girlboss don biggaveli
@rwxoxo
·
Nov 21, 2020","boy, this pussy talk johnson & johnson, pfizer, moderna
City Girl.
@ThegirlJT
 · Nov 21, 2020
City boy Biden! twitter.com/JoeBiden/statu…
5
10
82",,5,10,82,['https://pbs.twimg.com/profile_images/1462534420297093123/h7scfCUv_normal.jpg'],https://twitter.com/rwxoxo/status/1330289566188789760
